,start,end,duration,mean_error,median_error,distance,start_distance,end_distance,distance_traveled
ew9704_507,,,2880.0,,,76223.27545257371,,,
ew9704_373,,,2880.0,,,4554.699670369773,,,
ew9704_288,,,2880.0,,,50955.60853600494,,,
wi933014_64,,,7440.0,,,36218.5752814091,,,
ew9704_490,,,2880.0,,,34870.12620485455,,,
ew9704_374,,,2880.0,,,12841.60296628098,,,
wi933014_26,,,24600.0,,,131455.66403448602,,,
ew9704_286,,,2880.0,,,63449.34480226341,,,
ew9704_890,,,2880.0,,,56382.02484721278,,,
ew9704_745,,,2880.0,,,12107.888029013457,,,
ew9704_289,,,2880.0,,,37726.218608634146,,,
ew9704_509,,,2880.0,,,16343.530263887656,,,
wi933014_49,,,7620.0,,,33333.491614778126,,,
ew9704_585,,,2880.0,,,16964.80554490125,,,
ew9704_396,,,2880.0,,,4590.154240046343,,,
ew9704_213,,,2880.0,,,67870.88381433315,,,
ew9704_379,,,2880.0,,,42890.38359983505,,,
ew9704_301,,,2880.0,,,46091.730958654225,,,
ew9704_615,,,2880.0,,,2818.0130151848034,,,
ew9704_542,,,2880.0,,,1367.5767634233994,,,
ew9704_789,,,2880.0,,,5727.621570579223,,,
ew9704_363,,,2880.0,,,19366.41225894817,,,
ew9704_146,,,2880.0,,,37535.04809050889,,,
ew9704_643,,,2880.0,,,4110.764081306608,,,
ew9704_699,,,2880.0,,,16603.58937180956,,,
ew9704_221,,,2880.0,,,30121.080833842156,,,
wi933014_48,,,9540.0,,,42739.644314027355,,,
ew9704_835,,,2880.0,,,68636.07539740998,,,
ew9704_210,,,2880.0,,,73018.95210445294,,,
ew9704_584,,,2880.0,,,9646.149616885588,,,
ew9704_671,,,2880.0,,,58584.19771696091,,,
ew9704_872,,,2880.0,,,42122.25662767733,,,
ew9704_716,,,2880.0,,,3491.8722365996327,,,
ew9704_548,,,2880.0,,,2915.8557573392486,,,
ew9704_121,,,2880.0,,,33253.481053787975,,,
ew9704_342,,,2880.0,,,3241.3296398711636,,,
ew9704_886,,,2880.0,,,62601.34906101492,,,
ew9704_685,,,2880.0,,,44970.63818438933,,,
ew9704_226,,,2880.0,,,33746.29691019223,,,
ew9704_602,,,2880.0,,,21979.203870850622,,,
wi933014_21,,,32700.0,,,159810.66638073465,,,
ew9704_416,,,2880.0,,,2195.4965745430572,,,
ew9704_469,,,2880.0,,,18042.532000065283,,,
ew9704_223,,,2880.0,,,58420.59268231713,,,
wi933014_32,,,34380.0,,,182002.10549521237,,,
ew9704_448,,,2880.0,,,25527.316474143743,,,
ew9704_876,,,2880.0,,,45793.82086280735,,,
ew9704_621,,,2880.0,,,1653.408928869581,,,
ew9704_473,,,2880.0,,,1895.1325365463988,,,
wi933014_46,,,6540.0,,,34884.17072765129,,,
ew9704_713,,,2880.0,,,1525.2209308805757,,,
ew9704_225,,,2880.0,,,48565.177466448906,,,
ew9704_738,,,2880.0,,,5279.487317092257,,,
ew9704_619,,,2880.0,,,18649.221056005477,,,
ew9704_688,,,2880.0,,,12125.980238201531,,,
ew9704_328,,,2880.0,,,46578.90984775938,,,
ew9704_831,,,2880.0,,,58297.10063305185,,,
ew9704_511,,,2880.0,,,56138.339397742915,,,
ew9704_343,,,2880.0,,,1752.7670242621955,,,
ew9704_650,,,2880.0,,,58874.6044394986,,,
ew9704_861,,,2880.0,,,69771.6093104466,,,
ew9704_710,,,2880.0,,,19604.76633358099,,,
ew9704_431,,,2880.0,,,17546.97245380352,,,
ew9704_159,,,2880.0,,,3144.3291420213277,,,
ew9704_346,,,2880.0,,,3731.866414355113,,,
ew9704_477,,,2880.0,,,39910.18485788799,,,
ew0114_2,,,73260.0,,,976695.9897851937,,,
ew9704_323,,,2880.0,,,57204.14082406443,,,
wi933014_50,,,7020.0,,,37768.34369421698,,,
ew9704_242,,,2880.0,,,32226.363618535273,,,
ew9704_611,,,2880.0,,,4333.517107128077,,,
index17_90,,,87420.0,,,81941.08975127983,,,
ew9704_832,,,2880.0,,,29455.498615624943,,,
ew9704_243,,,2880.0,,,62834.51064683567,,,
ew9704_329,,,2880.0,,,49015.8135379206,,,
ew9704_791,,,2880.0,,,3875.4410852093456,,,
ew9704_324,,,2880.0,,,71889.43175929603,,,
ew9704_192,,,2880.0,,,74018.1717661465,,,
ew9704_605,,,2880.0,,,1663.1074127151742,,,
ew9704_353,,,2880.0,,,5105.999131482337,,,
ew9704_788,,,2880.0,,,28834.294740252153,,,
ew9704_118,,,2880.0,,,67426.20040204083,,,
ew9704_795,,,2880.0,,,2499.091219186061,,,
ew9704_131,,,2880.0,,,43198.11492004042,,,
index17_91,,,28920.0,,,21520.347718265926,,,
ew9704_125,,,2880.0,,,55353.40979302891,,,
ew9704_546,,,2880.0,,,3139.31904922312,,,
ew9704_571,,,2880.0,,,4349.75504413083,,,
